Kode,12M 2006,12M 2007,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022,12M 2023,12M 2024
ASGR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ASII,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ASJT,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ASMI,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ASRI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ASRM,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ASSA,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ATIC,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
AUTO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BABP,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BACA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BAJA,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BALI,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BAPA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BATA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
BAYU,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBCA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBHI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
BBKP,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBLD,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBMD,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
BBNI,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBRI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBRM,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBTN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBYB,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
BCAP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BCIC,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BCIP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BDMN,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BEKS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BEST,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BFIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BGTG,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
BHIT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BIKA,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
BIMA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BINA,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
BIPI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
BIPP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BIRD,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
BISI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BJBR,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BJTM,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BKDP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BKSL,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BKSW,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BLTA,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BLTZ,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
BMAS,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
BMRI,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BMSR,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
BMTR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BNBA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BNBR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BNGA,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BNII,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BNLI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BOLT,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BPFI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
BPII,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
BRAM,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BRMS,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BRNA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BRPT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BSDE,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BSIM,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BSSR,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BSWD,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BTEK,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BTEL,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
BTON,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BTPN,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BUDI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BUKK,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
BULL,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BUMI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BUVA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BVIC,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BWPT,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BYAN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CANI,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
CASS,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CEKA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CENT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CFIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CINT,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
CITA,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
CLPI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CMNP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CMPP,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CNKO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CNTX,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
COWL,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
CPIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CPRO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CSAP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CTBN,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
CTRA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CTTH,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DART,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DEFI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False
DEWA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DGIK,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DILD,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DKFT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DLTA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DMAS,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
DNAR,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
DNET,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DOID,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DPNS,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
DSFI,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DSNG,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
DSSA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DUTI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DVLA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DYAN,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ECII,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
EKAD,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ELSA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ELTY,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
EMDE,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
EMTK,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENRG,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
EPMT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ERAA,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ERTX,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ESSA,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ESTI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
ETWA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
EXCL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FAST,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FASW,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FISH,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FMII,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
FORU,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FPNI,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
GAMA,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
GDST,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GDYR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GEMA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GEMS,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GGRM,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GIAA,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GJTL,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GLOB,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GMTD,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GOLD,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GOLL,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False
GPRA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GSMF,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
GTBO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GWSA,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GZCO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HADE,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
HDFA,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HDTX,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
HERO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HEXA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
HITS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
HMSP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HOME,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
HOTL,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
HRUM,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
IATA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
IBFN,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
IBST,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ICBP,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ICON,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
IGAR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
IIKP,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
IKAI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
IKBI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False
IMAS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
IMJS,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
IMPC,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
INAF,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INAI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INCI,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INCO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INDF,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INDR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INDS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INDX,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INDY,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INKP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INPC,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INPP,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
INRU,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
INTA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
INTD,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
INTP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
IPOL,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ISAT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ISSP,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
ITMA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ITMG,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JAWA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JECC,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JIHD,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JKON,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JKSW,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
JPFA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JRPT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JSMR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JSPT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
JTPE,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KAEF,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
KARW,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KBLI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KBLM,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KBLV,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KBRI,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
KDSI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KIAS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KICI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KIJA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KKGI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KLBF,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KOBX,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KOIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KONI,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
KOPI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
KPIG,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KRAH,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False
KRAS,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
KREN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LAPD,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LCGP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
LEAD,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
LINK,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
LION,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LMAS,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
LMPI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LMSH,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LPCK,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LPGI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LPIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LPKR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LPLI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LPPF,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LPPS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LRNA,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
LSIP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LTLS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MAGP,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
MAIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MAMI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
MAPI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MASA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MAYA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MBAP,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
MBSS,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MBTO,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MCOR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MDIA,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
MDKA,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
MDLN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MDRN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MEDC,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MEGA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MERK,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
META,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MFIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MFMI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
MGNA,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
MICE,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MIDI,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MIKA,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
MIRA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MITI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MKPI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
MLBI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
MLIA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MLPL,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MLPT,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
