No;Kode;Nama Perusahaan;Tanggal Pencatatan;Saham;Papan Pencatatan
136;CNKO;Exploitasi Energi Indonesia Tb;20/11/2001;8956361206;Pemantauan Khusus
137;CNTX;Century Textile Industry Tbk.;22/05/1979;70000000;Pemantauan Khusus
138;COWL;Cowell Development Tbk.;19/12/2007;4871214021;Pemantauan Khusus
139;CPIN;Charoen Pokphand Indonesia Tbk;18/03/1991;16398000000;Utama
140;CPRO;Central Proteina Prima Tbk.;28/11/2006;59572382787;Pengembangan
141;CSAP;Catur Sentosa Adiprana Tbk.;12/12/2007;5683175151;Pengembangan
142;CTBN;Citra Tubindo Tbk.;28/11/1989;800371500;Pemantauan Khusus
143;CTRA;Ciputra Development Tbk.;28/03/1994;18535695255;Utama
144;CTTH;Citatah Tbk.;03/07/1996;1230839821;Pemantauan Khusus
145;DART;Duta Anggada Realty Tbk.;08/05/1990;3141390962;Pengembangan
146;DEFI;Danasupra Erapacific Tbk.;06/07/2001;687266666;Pemantauan Khusus
147;DEWA;Darma Henwa Tbk;26/09/2007;40687434244;Utama
148;DGIK;Nusa Konstruksi Enjiniring Tbk;19/12/2007;5541165000;Pengembangan
149;DILD;Intiland Development Tbk.;04/09/1991;10365854185;Utama
150;DKFT;Central Omega Resources Tbk.;21/11/1997;5638246600;Pengembangan
151;DLTA;Delta Djakarta Tbk.;27/02/1984;800659050;Utama
152;DMAS;Puradelta Lestari Tbk.;29/05/2015;48198111100;Utama
153;DNAR;Bank Oke Indonesia Tbk.;11/07/2014;16867292274;Pengembangan
154;DNET;Indoritel Makmur Internasional;11/12/2000;14184000000;Pengembangan
155;DOID;BUMA Internasional Grup Tbk.;15/06/2001;7651007132;Utama
156;DPNS;Duta Pertiwi Nusantara Tbk.;08/08/1990;331129952;Pengembangan
157;DSFI;Dharma Samudera Fishing Indust;24/03/2000;1857135500;Pengembangan
158;DSNG;Dharma Satya Nusantara Tbk.;14/06/2013;10599842400;Utama
159;DSSA;Dian Swastatika Sentosa Tbk;10/12/2009;7705523200;Utama
160;DUTI;Duta Pertiwi Tbk;02/11/1994;1850000000;Pemantauan Khusus
161;DVLA;Darya-Varia Laboratoria Tbk.;11/11/1994;1120000000;Pengembangan
162;DYAN;Dyandra Media International Tb;25/03/2013;4272964279;Pengembangan
163;ECII;Electronic City Indonesia Tbk.;03/07/2013;1334333000;Pengembangan
164;EKAD;Ekadharma International Tbk.;14/08/1990;3493875000;Pengembangan
165;ELSA;Elnusa Tbk.;06/02/2008;7298500000;Utama
166;ELTY;Bakrieland Development Tbk.;30/10/1995;43521913019;Pemantauan Khusus
167;EMDE;Megapolitan Developments Tbk.;12/01/2011;3350000000;Pengembangan
168;EMTK;Elang Mahkota Teknologi Tbk.;12/01/2010;61391751483;Utama
169;ENRG;Energi Mega Persada Tbk.;07/06/2004;24821230250;Utama
170;EPMT;Enseval Putera Megatrading Tbk;01/08/1994;2708640000;Pengembangan
171;ERAA;Erajaya Swasembada Tbk.;14/12/2011;15950000000;Utama
172;ERTX;Eratex Djaja Tbk.;21/08/1990;1286539792;Pengembangan
173;ESSA;ESSA Industries Indonesia Tbk.;01/02/2012;17226975700;Utama
174;ESTI;Ever Shine Tex Tbk.;13/10/1992;2015208720;Pemantauan Khusus
175;ETWA;Eterindo Wahanatama Tbk;16/05/1997;4668671400;Pemantauan Khusus
176;EXCL;XLSMART Telecom Sejahtera Tbk.;29/09/2005;18199862451;Utama
177;FAST;Fast Food Indonesia Tbk.;11/05/1993;3990277158;Pengembangan
178;FASW;Fajar Surya Wisesa Tbk.;19/12/1994;2477888787;Pemantauan Khusus
179;FISH;FKS Multi Agro Tbk.;18/01/2002;480000000;Pemantauan Khusus
180;FMII;Fortune Mate Indonesia Tbk;30/06/2000;6400000000;Pengembangan
181;FORU;Fortune Indonesia Tbk;17/01/2002;465224000;Pengembangan
182;FPNI;Lotte Chemical Titan Tbk.;21/03/2002;5566414000;Pengembangan
183;GAMA;Aksara Global Development Tbk.;11/07/2012;10011027656;Pemantauan Khusus
184;GDST;Gunawan Dianjaya Steel Tbk.;23/12/2009;9242500000;Pemantauan Khusus
185;GDYR;Goodyear Indonesia Tbk.;22/12/1980;410000000;Pengembangan
186;GEMA;Gema Grahasarana Tbk.;12/08/2002;1600000000;Pengembangan
187;GEMS;Golden Energy Mines Tbk.;17/11/2011;5882353000;Utama
188;GGRM;Gudang Garam Tbk.;27/08/1990;1924088000;Utama
189;GIAA;Garuda Indonesia (Persero) Tbk;11/02/2011;91480783837;Pemantauan Khusus
190;GJTL;Gajah Tunggal Tbk.;08/05/1990;3484800000;Utama
191;GLOB;Globe Kita Terang Tbk.;10/07/2012;1111112000;Pemantauan Khusus
192;GMTD;Gowa Makassar Tourism Developm;11/12/2000;1015380000;Pengembangan
193;GOLD;Visi Telekomunikasi Infrastruk;07/07/2010;1277276000;Pengembangan
194;GOLL;Golden Plantation Tbk.;23/12/2014;3665000759;Pemantauan Khusus
195;GPRA;Perdana Gapuraprima Tbk.;10/10/2007;4276655336;Pengembangan
196;GSMF;Equity Development Investment ;23/10/1989;14230399705;Pengembangan
197;GTBO;Garda Tujuh Buana Tbk;09/07/2009;2500000000;Pengembangan
198;GWSA;Greenwood Sejahtera Tbk.;23/12/2011;7800760000;Pengembangan
199;GZCO;Gozco Plantations Tbk.;15/05/2008;6000000000;Pengembangan
200;HADE;Himalaya Energi Perkasa Tbk.;12/04/2004;2120000000;Pemantauan Khusus
201;HDFA;Radana Bhaskara Finance Tbk.;10/05/2011;6542445783;Pengembangan
202;HDTX;Panasia Indo Resources Tbk.;06/06/1990;3601462800;Pemantauan Khusus
203;HERO;DFI Retail Nusantara Tbk.;21/08/1989;4183634000;Pengembangan
204;HEXA;Hexindo Adiperkasa Tbk.;13/02/1995;840000000;Utama
205;HITS;Humpuss Intermoda Transportasi;15/12/1997;7101084801;Utama
206;HMSP;H.M. Sampoerna Tbk.;15/08/1990;116318076900;Pengembangan
207;HOME;Hotel Mandarine Regency Tbk.;17/07/2008;22212194782;Pemantauan Khusus
208;HOTL;Saraswati Griya Lestari Tbk.;10/01/2013;3550001452;Pemantauan Khusus
209;HRUM;Harum Energy Tbk.;06/10/2010;13518100000;Utama
210;IATA;MNC Energy Investments Tbk.;13/09/2006;31275829295;Pemantauan Khusus
211;IBFN;Intan Baru Prana Tbk.;22/12/2014;1517332349;Pemantauan Khusus
212;IBST;Inti Bangun Sejahtera Tbk.;31/08/2012;1350904927;Pemantauan Khusus
213;ICBP;Indofood CBP Sukses Makmur Tbk;07/10/2010;11661908000;Utama
214;ICON;Island Concepts Indonesia Tbk.;08/07/2005;1089750000;Pemantauan Khusus
215;IGAR;Champion Pacific Indonesia Tbk;05/11/1990;972204500;Pengembangan
216;IIKP;Inti Agri Resources Tbk;14/10/2002;33600000000;Pemantauan Khusus
217;IKAI;Intikeramik Alamasri Industri ;04/06/1997;13305799387;Pemantauan Khusus
218;IKBI;Sumi Indo Kabel Tbk.;21/01/1991;1224000000;Pengembangan
219;IMAS;Indomobil Sukses Internasional;15/11/1993;3994291039;Utama
220;IMJS;Indomobil Multi Jasa Tbk.;10/12/2013;8654325000;Pengembangan
221;IMPC;Impack Pratama Industri Tbk.;17/12/2014;54268500000;Utama
222;INAF;Indofarma Tbk.;17/04/2001;3099267500;Pemantauan Khusus
223;INAI;Indal Aluminium Industry Tbk.;05/12/1994;633600000;Pengembangan
224;INCI;Intanwijaya Internasional Tbk;24/07/1990;207656617;Pengembangan
225;INCO;Vale Indonesia Tbk.;16/05/1990;10539784534;Utama
226;INDF;Indofood Sukses Makmur Tbk.;14/07/1994;8780426500;Utama
227;INDR;Indo-Rama Synthetics Tbk.;03/08/1990;654351707;Pengembangan
228;INDS;Indospring Tbk.;10/08/1990;6562497100;Pengembangan
229;INDX;Tanah Laut Tbk;17/05/2001;437913588;Pengembangan
230;INDY;Indika Energy Tbk.;11/06/2008;5210192000;Utama
231;INKP;Indah Kiat Pulp & Paper Tbk.;16/07/1990;5470982941;Utama
232;INPC;Bank Artha Graha Internasional;23/08/1990;20021178779;Utama
233;INPP;Indonesian Paradise Property T;12/01/2004;11181971732;Pengembangan
234;INRU;Toba Pulp Lestari Tbk.;18/06/1990;1388883283;Pengembangan
235;INTA;Intraco Penta Tbk.;23/08/1993;3343935022;Pemantauan Khusus
236;INTD;Inter Delta Tbk;18/12/1989;591828000;Pengembangan
237;INTP;Indocement Tunggal Prakarsa Tb;05/12/1989;3681231699;Utama
238;IPOL;Indopoly Swakarsa Industry Tbk;09/07/2010;6443379509;Pengembangan
239;ISAT;Indosat Tbk.;19/10/1994;32250810957;Utama
240;ISSP;Steel Pipe Industry of Indones;22/02/2013;7185992035;Utama
241;ITMA;Sumber Energi Andalan Tbk.;10/12/1990;999053167;Pengembangan
242;ITMG;Indo Tambangraya Megah Tbk.;18/12/2007;1129925000;Utama
243;JAWA;Jaya Agra Wattie Tbk.;30/05/2011;16232951842;Pengembangan
244;JECC;Jembo Cable Company Tbk.;18/11/1992;756000000;Pengembangan
245;JIHD;Jakarta International Hotels &;29/02/1984;2329040482;Pengembangan
246;JKON;Jaya Konstruksi Manggala Prata;04/12/2007;16308519860;Utama
247;JKSW;Jakarta Kyoei Steel Works Tbk.;06/08/1997;150000000;Pemantauan Khusus
248;JPFA;Japfa Comfeed Indonesia Tbk.;23/10/1989;11726575201;Utama
249;JRPT;Jaya Real Property Tbk.;29/06/1994;13750000000;Pengembangan
250;JSMR;Jasa Marga (Persero) Tbk.;12/11/2007;7257871200;Utama
251;JSPT;Jakarta Setiabudi Internasiona;12/01/1998;2318736000;Pengembangan
252;JTPE;Jasuindo Tiga Perkasa Tbk.;16/04/2002;6852050000;Utama
253;KAEF;Kimia Farma Tbk.;04/07/2001;5566588407;Pengembangan
254;KARW;Meratus Jasa Prima Tbk.;20/12/1994;587152700;Pemantauan Khusus
255;KBLI;KMI Wire & Cable Tbk.;06/07/1992;4007235107;Utama
256;KBLM;Kabelindo Murni Tbk.;01/06/1992;1120000000;Pengembangan
257;KBLV;First Media Tbk.;25/02/2000;1742167907;Pengembangan
258;KBRI;Kertas Basuki Rachmat Indonesi;11/07/2008;8687995734;Pemantauan Khusus
259;KDSI;Kedawung Setia Industrial Tbk.;29/07/1996;1620000000;Pengembangan
260;KIAS;Keramika Indonesia Assosiasi T;08/12/1994;14929100000;Pemantauan Khusus
261;KICI;Kedaung Indah Can Tbk;28/10/1993;276000000;Pengembangan
262;KIJA;Kawasan Industri Jababeka Tbk.;10/01/1995;20824888369;Utama
263;KKGI;Resource Alam Indonesia Tbk.;01/07/1991;5000000000;Utama
264;KLBF;Kalbe Farma Tbk.;30/07/1991;46813391540;Utama
265;KOBX;Kobexindo Tractors Tbk.;05/07/2012;2272500000;Pengembangan
266;KOIN;Kokoh Inti Arebama Tbk;09/04/2008;980843732;Pemantauan Khusus
267;KONI;Perdana Bangun Pusaka Tbk;22/08/1995;312000000;Pengembangan
268;KOPI;Mitra Energi Persada Tbk.;04/05/2015;697266668;Pengembangan
269;KPIG;MNC Land Tbk.;30/03/2000;97557129263;Pengembangan
270;KRAH;Grand Kartech Tbk.;08/11/2013;971190000;Pemantauan Khusus
271;KRAS;Krakatau Steel (Persero) Tbk.;10/11/2010;19346396900;Pengembangan
272;KREN;Quantum Clovera Investama Tbk.;28/06/2002;18208470100;Pemantauan Khusus
273;LAPD;Leyand International Tbk.;17/07/2001;3966350139;Pemantauan Khusus
274;LCGP;Eureka Prima Jakarta Tbk.;13/07/2007;5630000914;Pemantauan Khusus
275;LEAD;Logindo Samudramakmur Tbk.;11/12/2013;5799616328;Pengembangan
276;LINK;Link Net Tbk.;02/06/2014;2863195484;Pemantauan Khusus
277;LION;Lion Metal Works Tbk.;20/08/1993;520160000;Utama
278;LMAS;Limas Indonesia Makmur Tbk;28/12/2001;787851525;Pemantauan Khusus
279;LMPI;Langgeng Makmur Industri Tbk.;17/10/1994;1008517669;Pengembangan
280;LMSH;Lionmesh Prima Tbk.;04/06/1990;96000000;Pemantauan Khusus
281;LPCK;Lippo Cikarang Tbk;24/07/1997;5119529692;Utama
282;LPGI;Lippo General Insurance Tbk.;22/07/1997;3000000000;Pengembangan
283;LPIN;Multi Prima Sejahtera Tbk;05/02/1990;425000000;Pengembangan
284;LPKR;Lippo Karawaci Tbk.;28/06/1996;70898018369;Utama
285;LPLI;Star Pacific Tbk;23/10/1989;1170432803;Pengembangan
286;LPPF;Matahari Department Store Tbk.;09/10/1989;2259292880;Utama
287;LPPS;Lenox Pasifik Investama Tbk.;28/03/1994;2588250000;Pengembangan
288;LRNA;Eka Sari Lorena Transport Tbk.;15/04/2014;350000022;Pengembangan
289;LSIP;PP London Sumatra Indonesia Tb;05/07/1996;6819963965;Utama
290;LTLS;Lautan Luas Tbk.;21/07/1997;1560000000;Utama
291;MAGP;Multi Agro Gemilang Plantation;16/01/2013;9000000004;Pemantauan Khusus
292;MAIN;Malindo Feedmill Tbk.;10/02/2006;2238750000;Utama
293;MAMI;Mas Murni Indonesia Tbk;09/02/1994;12299317590;Pemantauan Khusus
294;MAPI;Mitra Adiperkasa Tbk.;10/11/2004;16600000000;Utama
295;MASA;Multistrada Arah Sarana Tbk.;09/06/2005;9182946945;Pengembangan
296;MAYA;Bank Mayapada Internasional Tb;29/08/1997;25906179152;Utama
297;MBAP;Mitrabara Adiperdana Tbk.;10/07/2014;1227271952;Pengembangan
298;MBSS;Mitrabahtera Segara Sejati Tbk;06/04/2011;1750026639;Utama
299;MBTO;Martina Berto Tbk.;13/01/2011;1070000000;Pengembangan
300;MCOR;Bank China Construction Bank I;03/07/2007;37540533209;Utama
301;MDIA;Intermedia Capital Tbk.;11/04/2014;39215538400;Pemantauan Khusus
302;MDKA;Merdeka Copper Gold Tbk.;19/06/2015;24472983771;Utama
303;MDLN;Modernland Realty Tbk.;18/01/1993;12533067322;Utama
304;MDRN;Modern Internasional Tbk.;16/07/1991;7632167798;Pemantauan Khusus
305;MEDC;Medco Energi Internasional Tbk;12/10/1994;25136231252;Utama
306;MEGA;Bank Mega Tbk.;17/04/2000;11623514905;Utama
307;MERK;Merck Tbk.;23/07/1981;448000000;Pengembangan
308;META;Nusantara Infrastructure Tbk.;18/07/2001;17710708194;Pemantauan Khusus
309;MFIN;Mandala Multifinance Tbk.;06/09/2005;2676887872;Utama
310;MFMI;Multifiling Mitra Indonesia Tb;29/12/2010;757581000;Pemantauan Khusus
311;MGNA;Magna Investama Mandiri Tbk.;08/07/2014;3410477263;Pemantauan Khusus
312;MICE;Multi Indocitra Tbk.;21/12/2005;600000000;Pengembangan
313;MIDI;Midi Utama Indonesia Tbk.;30/11/2010;33435294800;Utama
314;MIKA;Mitra Keluarga Karyasehat Tbk.;24/03/2015;13907481500;Utama
315;MIRA;Mitra International Resources ;30/01/1997;3961452039;Pemantauan Khusus
316;MITI;Mitra Investindo Tbk.;16/07/1997;3540735503;Pengembangan
317;MKPI;Metropolitan Kentjana Tbk.;10/07/2009;948194000;Pengembangan
318;MLBI;Multi Bintang Indonesia Tbk.;15/12/1981;2107000000;Utama
319;MLIA;Mulia Industrindo Tbk;17/01/1994;6615000000;Utama
320;MLPL;Multipolar Tbk.;06/11/1989;15682323987;Utama
321;MLPT;Multipolar Technology Tbk.;08/07/2013;1875000000;Pengembangan
322;MMLP;Mega Manunggal Property Tbk.;12/06/2015;6889134608;Utama
323;MNCN;Media Nusantara Citra Tbk.;22/06/2007;15049787710;Utama
324;MPMX;Mitra Pinasthika Mustika Tbk.;29/05/2013;4462963276;Utama
325;MPPA;Matahari Putra Prima Tbk.;21/12/1992;12966640084;Utama
326;MRAT;Mustika Ratu Tbk.;27/07/1995;428000000;Pengembangan
327;MREI;Maskapai Reasuransi Indonesia ;04/09/1989;517791681;Pengembangan
328;MSKY;MNC Sky Vision Tbk.;09/07/2012;1994370480;Pengembangan
329;MTDL;Metrodata Electronics Tbk.;09/04/1990;12276884585;Utama
330;MTFN;Capitalinc Investment Tbk.;16/04/1990;31842082852;Pemantauan Khusus
331;MTLA;Metropolitan Land Tbk.;20/06/2011;7655126330;Utama
332;MTSM;Metro Realty Tbk.;08/01/1992;232848000;Pemantauan Khusus
333;MYOH;Samindo Resources Tbk.;27/07/2000;2206312500;Utama
334;MYOR;Mayora Indah Tbk.;04/07/1990;22358699725;Utama
335;MYRX;Hanson International Tbk.;31/10/1990;86703220792;Pemantauan Khusus
336;MYTX;Asia Pacific Investama Tbk.;10/10/1989;7747281949;Pemantauan Khusus
337;NELY;Pelayaran Nelly Dwi Putri Tbk.;11/10/2012;2350000000;Pengembangan
